,Song,Movie,Singers,Musicians,Lyricists,Year,Lyrics
199,Vaara Re,Dhadak,Atul Goglave,Ajay-Atul,Amitabh Bhattacharya, ,"Phir se zindagi muskurayegi Hum manayenge maan jaayegi Aajtak bhale ajnabi rahi Aaj se humein jaan jaayegi Mud ke dekhna hi kyon Aage ka iraada hai Aaj se hai jo bhi apna Aadha aadha hai Maine vaara re, vaara re Vaara saathiya mera yeh Mera sab pyar pyar pyar yeh Vaara re, vaara re Vaara saathiya mera Mera sab pyar pyar pyar mein tere Phir se zindagi muskurayegi Hum manayenge maan jaayegi Aajtak bhale ajnabi rahi Aaj se humein jaan jaayegi Donon ko nibhana yeh Umra bhar ka vaada hai Aaj se hai jo bhi apna Aadha aadha hai Maine vaara re, vaara re Vaara saathiya mera yeh Mera sab pyar pyar pyar yeh Vaara re, vaara re Vaara saathiya mera Mera sab pyar pyar pyar mein tere"
200,Chota Sa Fasana,Karwaan,Arijit Singh,Anurag Saikia,Akarsh Khurana, ,"Chota sa fasana Kisi ko pata na Kise kya sunana Chal pade hain jo hum Ab kaisa bahana Isse hai nibhana Yeh safar hai naya Kya se kya ho gaya Aage kya hai aana Bekhabar main yahan Befikar hai jahan Kise kya batana Ki dil mera, ho Hai banjara, ho Hai manzil bhi Yeh maane na Khuli aakhein dekhe Manzar naya sa hai Dekho raahein poochhe Manzil meri kahan hai Ho pata lapata Kisi ko kya pata Ki mujhe jana hai kahan Iss safar ki wajah Hai yeh farz ya saza Yeh maine jaana hai kahan Ki dil mera, ho Hai banjara, ho Hai manzil bhi Yeh maane na"
201,Naino Ne Baandhi,Gold,Yasser Desai,Arko Pravo Mukherjee,Arko Pravo Mukherjee, ,"Dil se sun piya yeh dil ki daastan Jo lafzon mein nahi ho bayan x (2) Ab jaisa bhi rasta Tootega na vasta Na rahega fasla darmiyan Naino ne baandhi kaisi dor re Naino ne baandhi kaisi dor re Ho munnsif hi mera, mera chor re Dil pe chale na koyi zor re Haan dil pe chale na koyi zor re Ho khicha chala jaaye teri ore re Ho aaja tera daras dikha de maahi Mujhe mera aks dikha de maahi Tujhse judi hain sab kahaaniyan x (2) Chaahe 100 gardishein ho Par koyi bair nahi Hum duniya se ladd lenge Par tere baghair nahi Dil se sun piya yeh dil ki daastan Jo lafzon mein nahi ho bayan Humsafar humraaz tu Jism main aur saans tu Rehna mere paas tu yoon sada Naino ne baandhi kaisi dor re Haan naino ne baandhi kaisi dor re Ho munnsif hi mera, mera chor re Dil pe chale na koyi zor re Haan dil pe chale na koyi zor re Ho khicha chala jaaye teri ore re"
202,Pehli Baar,Dhadak,Ajay Gogavale,Ajay-Atul,Amitabh Bhattacharya, ,Pehli baar hai ji Pehli baar hai ji Is kadar kisi ki dhun sawar hai ji Jiski aas mein huyi subah se dopehar Shaam ko ussi ka intezar hai ji Hosh hai zara Zara zara khumar hai ji Chhed ke gaya Woh aise dil ke taar hai ji Pehli baar hai ji Pehli baar hai ji Is kadar kisi ki dhun sawar hai ji Jiski aas mein huyi subah se dopehar Shaam ko ussi ka intezar hai ji Hadbadi mein har ghadi hai Dhadkanein huyi bawari Sara din use dhoondte rahe Nainon ki lagi naukri Dikh gayi to hai ussi mein Aaj ki kamayi meri Mushkura bhi de to mujhe lage Jeet li koyi lottery Dil ki harqatein Meri samajh ke paar hain ji Hey ishq hai isee Ya mausmi bukhar hai ji Pehli baar hai ji Pehli baar hai ji Saari saari raat jaagu Radio pe gaane sunu Chhatt pe lait ke Ginn chuka hoon jo Roz woh sitare ginu Kyon na jaane doston ki Dosti mein dil na lage Sabse vaasta tod taad ke Chaahta hoon tera banu Apne faisle pe mujhko aitbaar hai ji Ho ho tu bhi bol de Ki tera kya vichar hai ji
203,Tere Naal Nachna,Nawabzaade,"Badshah, Sunanda Sharma",Badshah,Badshah, ,"Club mein tu aayi hone ko high Head to toe coco mein nahaai Sidha gayi bar pe deti nahi fukk Lagta hai taza taza hua breakup Baby all alone na koyi sang Hirni si aakhein baby sawla rang Dekh ke tujhko phooli hain saasein meri Akad gaye mere angg Baby kuchh bhi raha nahi bas mein Aise jaan na le meri hass ke Le baby neat pakad, beat pakad Zor laga ke thoda kas ke Ni main Vodka lagga ke tere naal nachna Ni main Vodka lagga ke tere naal nachna Hoye main tera hi naa rattna Addi maar ke vehda pattna Aaj main talli hoke hatna ni x (2) Ho baby baby you don’t care Hawa mein tere uddte hair Hath dono in the air Tu lage mujhe zone mein Ho baby baby understand De apna tu Instagram Ya lele mera number tu Save kar phone mein Fail karde tu nashe charas ke Tere nakhre na kisi ke bas ke Le baby neat pakad, beat pakad Zor laga ke thoda kas ke Ni main Vodka lagga ke tere naal nachna Ni main Vodka lagga ke tere naal nachna Hoye main tera hi naa rattna Addi maar ke vehda pattna Aaj main talli hoke hatna ni x (2) It’s yo boy Badshah Ho baby baby you don’t care Hawa mein tere uddte hair Hath dono in the air Tu lage mujhe zone mein"
204,Dilbar,Satyamev Jayate,"Neha Kakkar, Dhvani Bhanushali, Ikka",Tanishk Bagchi,"Shabbir Ahmed, Ikka", ,Dilbar dilbar Chadha jo mujhpe suroor hai Asar tera yeh zaroor hai Teri nazar ka kasoor hai yeh Dilbar dilbar dilbar Aa paas aa tu kyon door hai Yeh ishq ka jo fitoor hai Nashe mein dil tere choor hai Dilbar dilbar dilbar Ab to hosh na khabar hai Yeh kaisa asar hai Hosh na khabar hai Yeh kaisa asar hai Tumse milne ke baad dilbar Tumse milne ke baad dilbar Dilbar dilbar dilbar Dilbar dilbar x (2) Karti katal na aise tu chal Paheli ka is nikalo koyi hal Husn ka pitara khilta kamal Kar loon main sabar Kyun ki mitha hai fal Tu mera khwaab hai Tu mere dil ka karaar Dekh le jaan-e-mann Dekh le bas ek baar Chain kho gaya hai Kuchh to ho gaya hai Chain kho gaya hai Kuchh to ho gaya hai Tumse milne ke baad dilbar Tumse milne ke baad dilbar Oh yeah! Dilbar dilbar
205,Bhopu Baj Raha Hain,Sanju,Nakash Aziz,Rohan-Rohan,"Shekhar Astitwa, Rohan Gokhale", ,Bhopu baj raha hain Bhopu bhopu baj raha hai Bhopu bhopu baj raha hai Dance dance karle x (2) Jab bhi baje baja To mood mein tu aaja Dabang hoke dance karle Fikar chhod saari Hata yeh duniyadari Malang hoke dance karle Goggle chadha le yaara Collar utha le yaara Duniya ka load mat le Bhopu baj raha hain Bhopu bhopu baj raha hai Bhopu bhopu baj raha hai Dance dance karle x (2) Bhatka woh haan dar dar ke jiya jo pyare Pahuncha woh jo apni bhun mein chala Hona hai jo haan Woh to hoke hi rahega pyare Tension leke hua hai kiska bhala Goggle chadha le yaara Collar utha le yaara Duniya ka load mat le Bhopu baj raha hain Bhopu bhopu baj raha hai Bhopu bhopu baj raha hai Dance dance karle Bhopu baj raha hain Bhopu bhopu baj raha hai Bhopu bhopu baj raha hai Po po po aah Ho dance kar le re Thumak thumak ke dance kar Phudak phudak ke dance kar Matak matak ke dance kar Dance dance dance dance Lachak lachak ke dance kar Uchak uchak ke dance kar Ludhak ludhak ke dance kar Dance dance dance dance Machal machal ke dance kar Uchhal uchhal ke dance kar Phisal phisal ke dance kar Dance dance dance dance Thirak thirak ke dance kar Sarak sarak ke dance kar Arre bandhu bhopu kata Chheti kata looka aa Jab bhi baje baja To mood mein tu aaja Dabang hoke dance karle Fikar chhod saari Hata yeh duniyadari Malang hoke dance karle Goggle chadha le yaara Collar utha le yaara Duniya ka load mat le Bhopu baj raha hain Bhopu bhopu baj raha hai Bhopu bhopu baj raha hai Dance dance karle x (3) I love this bhopu yeah! I love this C’mon Bhopu bhopu bhopu I love this bhopu re Namaskaar
206,High Rated Gabru,Nawabzaade,Guru Randhawa,Guru Randhawa,Guru Randhawa, ,"Haye ni haye nakhra tera ni High rated gabru nu maare Haye ni munde paagal ho gaye ne Tere ginn ginn lakk de hulalre x (2) Ho teri meethi meethi baatein Haye kamaal kar gayi Aankhon hi aankhon mein Tu sawal kar gayi x (2) Daily de kinne marde ne Te kinne pehlan tu maare Haye ni haye nakhra tera ni High rated gabru nu maare Haye ni munde paagal ho gaye ne Tere ginn ginn lakk de hulalre Brown brown skin teri karti deewana hai Ter liye mundeya ne chhadeya zamana hai x (2) Tere te shartaan laa laake Roz kinne ne haare Haye ni haye nakhra tera ni High rated gabru nu maare Haye ni munde paagal ho gaye ne Tere ginn ginn lakk de hulalre Tere bin nai main jeena, mar hi jana Baby you are the one Kinni sohni lagdi, sonh hai rabb di You are hotter than the Sun Haan sachi muchi hunn tainu love karda Dil wali gall kehnu dil darda Ban meri, ban meri queen sohniye Dekh kalla jatt tera king warga Haye ni haye nakhra tera ni High rated gabru nu maare Haye ni munde paagal ho gaye ne Tere ginn ginn lakk de hulalre"
207,Zingaat,Dhadak,Ajay-Atul,Ajay-Atul,Amitabh Bhattacharya, ,"Kesariya mharo balma Padharo mhari conutry ma re Aao padharo Kesariya mharo balma Padharo mhari conutry ma re Aao padharo na re Hey dhadak chikdum dhadkan bole Jab tu chhat pe aaye Nain lada ke tujhse man mandir mein Jingle bell ho jaaye Dhoom dhadak chikdum dhadkan bole Jab tu chhat pe aaye Nain lada ke tujhse man mandir mein Jingle bell ho jaaye Tera haseen chehra, aaha Mere labon se nikla, waha Dhoonde Google pe jaake Milega majnu mere jaisa kahan Poori paltan ke sath Leke baraat balma yeh tera Naache zing zing zing zing zing zing zingaat Zing zing zing zing zing zing zingaat Zing zing zing zing zing zing zingaat Zing zing zing zing zing zing zingaat x (2) Aaya 10 kilometer paidal Chal ke main teri gali Mujhko paani bhi na poocha Khud motorcycle pe chali Tu saheli ke sang jaake Restaurant mein pizza khaaye Dhoop mein baahar baitha baitha Main chugta hoon moongfali Chali teri sawari jahan Haan haan haan Chali teri sawari jahan Sang chala main tere wahan Fan hoon baby tera Laga hoon pechhe dum-challe ki tarah Chaahe jitna bhi daant Chhode na sath balma yeh tera Naache zing zing zing zing zing zing zingaat Zing zing zing zing zing zing zingaat Zing zing zing zing zing zing zingaat Zing zing zing zing zing zing zingaat x (2) Bhejoon mummy daddy ko ghar Leke tere rishta Ho shagun mein kaju, pista Choodi, kangan with gulldasta Chai biscuit se munh meetha karke Shaadi done ho jaaye Na milega tere gharwalon ko Dulha itna sasta Baaki tamam rishte hata Baaki tamam rishte hata Patli gali se unko kata Aur saja ke mandap tere bagal mein Gauri mujhko bitha Dede hathon mein hath Ban jaye baat balma yeh tera Naache zing zing zing zing zing zing zingaat Zing zing zing zing zing zing zingaat Zing zing zing zing zing zing zingaat Zing zing zing zing zing zing zingaat x (2)"
208,Dhadak Title Song,Dhadak,"Ajay Gogavale, Shreya Ghoshal",Ajay-Atul,Amitabh Bhattacharya, ,Marhami sa chaand hai tu Diljala sa main andhera Ek dooje ke liye hai Neend meri khwaab tera Tu ghata hai phuhar ki Main ghadi intezar ki Apna milna likha Isi baras hai naa Jo meri manzilon ko jati hai Tere naam ki koyi sadak hai naa Jo mere dil ko dil banaati hai Tere naam ki koyi dhadak hai naa Koyi baandhni joda odh ke Babul ki gali aaun chhod ke Tere hi liye laungi piya 16 saal ke saawan jod ke Pyar se thaamna dor bareek hai Saat janmon ki yeh pehli tareekh hai Dor ka ek main sirra aur tera hai dusra Judd sake beech mein kayi tadap hain na Jo meri manzilon ko jati hai Tere naam ki koyi sadak hai naa Jo mere dil ko dil banaati hai Tere naam ki koyi dhadak hai naa
209,Ruby Ruby,Sanju,"Shashwat Singh, Poorvi Koutish",AR Rahman,Irshad Kamil, ,"Ruby Ruby.. Tu ruby ruby ruby ruby Ruby ruby ho ja rubaru x (2) Ho jaaun main dhuan dhuan Aaun wahan tu ho jahan Chhu ke tujhe baadal banun Badla hoon main sapne bunun Ruby ruby meri ruby Tere bina ruby dil ki hai naiya doobi Sunti to hogi tu bhi ruby ruby Badi matmaili dushman duniya Hai sabse badi uljhan duniya Hai tohmat yaar, lanchhan duniya Mujhe lakh rahi hai yeh Phaans rahi hai yeh duniya Chal ruby ruby ruby tu bhi Mere jaisi ho ja hubahu Tu ruby ruby ruby ruby Ruby ruby ho ja rubaru Ho jaaun main dhuan dhuan Aaun wahan tu ho jahan Chhu ke tujhe baadal banun Badla hoon main sapne bunun Ruby ruby meri ruby Chadhta jaaye, ruby nasha hai Badhta jaaye, nasha nasha hai Utrega na, ruby nasha hai Maine mana, nasha nasha hai Baahar naache, ruby nasha hai Andar jhoome, nasha nasha hai Mujhe lakh rahi hai yeh Phaans rahi hai yeh duniya Tu ruby ruby ruby ruby Ruby ruby ho ja rubaru"
210,Saansein Hui Dhuan Dhuan,Race 3,"Gurinder Seagal, Payal Dev, Iulia Vantur",Gurinder Seagal,"Kunaal Vermaa, Rimi Nique", ,"R A C E 3 x (2) Running like a old fire Getting those that I desire Moving to the crazy beat Like you know what I mean sweet Tripping we think like a boss I’m a hustler, I will gloss It ain’t all about the race There is more to this pretty face Saansein hui dhuan dhuan Bekabu tu bhi aur main bhi hoon yahan Baatein badi hoti nahi Mauka barabar ka hai karke dikha Tu jo pyar se kahe to De doon jaan bhi tujhe Jo takrar tu kare to hogi Race! Race! R A C E 3 Yeh zindagi ki race! R A C E 3 Besabar sabar main idhar udhar Har shikhar sifar sab mera hai Har nazar nazar teri mujh par Banda parwar rab mera hai Tere aage main, mere pichhe pichhe tu Karke dikha mujhe overtake Race badha tu wroom wroom wroom Tune jitna, socha kabhi na Utna main hairat angez Aa kar le chase boom boom boom Pal mein zameen, pal mein hawa Jaise hi aakhein jhapki main gayab hua Jaan-baziyan ragon mein hai Lahu se zyada hai irada jo rawan Tu jo pyar se kahe to De doon jaan bhi tujhe Jo takrar tu kare to hogi Race! Yeh zindagi ki race! Race! Running like a old fire Getting those that I desire Moving to the crazy beat Like you know what I mean sweet Tripping we think like a boss I’m a hustler, I will gloss It ain’t all about the race There is more to this pretty face Race"
211,Ek Galti,Race 3,Shivai Vyas,-,"Shivai Vyas, Shanky", ,"Tera raasta dekhti hain aankhein Aur tera hi intezar karein Agar aa jaaye tu saamne Tera hi deedar karein Teri aankhon ko meri aankhon ne Chupke se sab kuchh kehna hai Tujhko sab apna maan kar Tere dil mein hi bas rehna hai Rootha hai dil, toota to nahi Toota bhi ho, jhootha to nahi Mere dil ko tujhse pyar hai Tere dil ko mujhe pyar hai Haan ho gayi galti mujhse Main janta hoon Par ab bhi tujhe main Apni jaan maanta hoon Ek aakhiri mauka de mujhe Aaj bhi main tujhe Apni shaan maanta hoon Jaan maanta hoon Haan galti kar di maine Par diya pyar bhi kitna maine Main insan hoon na bhagwan hoon Galti hi ki hai, kiya na gunah maine Jhagda hai pehla Ise aakhiri na hone doonga Galti bhi maan li maine Aise na jaane doonga Sach yeh narazgi hai Maine tera dil dukhaya Par jaan le itna tu bhi Tere bina main na reh paya Yaadon mein teri aankhein Aankhon mein teri yaadein Dhoondhe tera chehra din bhar Phir raat ko teri yaadein Yeh aankhein paagal ho gayi Inko samjhaun kaise Kitna hai pyar rani Kaise bataun kaise, kaise Mujhmein nahi hoon main tere bina Tujhse hi hoon main oh meri jaan Tu mohabbat, tu hai jannat Teri zarurat hai yahan Teri khamoshi hai leti Jaan mere haan is dil ki Saans bhi na le sakoon main Oh jaan-e-jaan tere bina Teri yaadon ko kisi kone mein Chhupa nahi sakta hoon main Tere chehre ki woh muskaan ko Bhula nahi sakta hoon Haan ho gayi galti mujhse Main janta hoon Par ab bhi tujhe main Apni jaan maanta hoon Ek aakhiri mauka de mujhe Aaj bhi main tujhe Apni shaan maanta hoon"
212,I Found Love,Race 3,"Salman Khan, Veere Saxena",-,Salman Khan, ,"Nazrein saasein mile Jab hum aur tum mile Pehle ka bhool jaayein Abhi aur future ka sochein No body knows What the future hold for us Let’s give it our best Oh jaana jaana jaana oh baby! Jab sath hote hain Jab paas hote hain Rubaru hote hi Meri rooh teri rooh se kahe I found love, I found love I found love, I found it in you x (3) Ek baat achchhi huyi ki Khoobiyon ke pehle khaamiyan pata chali Hai ghazab ki yeh baat Yeh baat hai ghazab ki Khoobiyon ki baat khoob hai par Khaamiyan bhi humein bha gayi gayi gayi Jab sath hote hain Jab paas hote hain Rubaru hote hi Meri rooh teri rooh se kahe I found love, I found love I found love, I found it in you x (3) Zindagi zindagi tujhko maine saunp di Teri baahon mein, teri nazron mein Tere labon ko chhu ke main Tere dil mein bas gayi gayi gayi Gayi hoon main Jab sath hote hain Jab paas hote hain Rubaru hote hi Meri rooh teri rooh se kahe Future mein na ja kar Zindagi aaj abhi bitaate nibhaate jiyein Because I found love, I found love I found love, I found it in you x (3)"
213,Kar Har Maidaan Fateh,Sanju,"Sukhwinder Singh, Shreya Ghoshal",Vikram Montrose,Shekhar Astitwa, ,"Pighla de zanjeerein Bana unki shamsheerein Kar har maidaan fateh oh bandeya Kar har maidan fateh Ghayal parinda hai tu Ikhlaat zinda hai tu Baaki hai tujhmein hausla Tere junoon ke aage Ambar panahein maange Kar daale tu jo faisla Roothi takdeerein to kya Tooti shamsheerein to kya Tooti shamsheeron se hi ho Kar har maidaan fateh Kar har maidan fateh Kar har maidaan fateh re bandeya Har maidan fateh x (2) Tum gardishon ke baadalon pe chadh ke Waqt ka girebaan pakad ke Poochhna hai jeet ka pata, jeet ka pata In muthiyon mein chaand tare bhar ke Aasman ki hadd se ghuzar ke Ho ja tu bheed se judaa, bheed se judaa Kehne ko zarra hai tu Lohe ka chharra hai tu Tooti shamsheeron se hi ho Kar har maidaan fateh Kar har maidan fateh Kar har maidaan fateh re bandeya Har maidan fateh x (3) Teri koshishein hi kaamyab hongi Jab teri yeh zid aag hogi Phoonk dengi na-ummeediyan, na-ummeediyan Tere peechhe peechhe raaste yeh chal ke Baahon ki nishanon mein dhal ke Dhoondh lenge apna aashiyan, apna aashiyan Lamhon se aankh mila ke Rakh dengi jaan lada ke Tooti shamsheeron se hi ho Kar har maidaan, har maidaan Har maidaanm, har maidaan Kar har maidaan fateh Kar har maidan fateh Kar har maidaan fateh re bandeya Har maidan fateh x (3) Kar har maidaan fateh re bandeya Har maidan fateh"
214,Party Chale On,Race 3,"Mika Singh, Iulia Vantur",Vicky-Hardik,Hardik Acharya, ,"Weekend ki partiyan ho rahi hain Ek main aur tu, sath mein hain Aur hath mein hai tattoo Bling bling jalti yeh lights Aur super fun ki night Hona hai jo ho jaane do Aaj poora hai apna right Bas party chale On n on n on Bas party chale On n on n on Bas party chale On n on n on Bas party chale On n on n on n on Ho timtiaate hain sitare Dil mein kho ja tu Jagmagate hain nazare paas aaja tu Hai jo yeh halka sa nasha Slowly slowly ho raha Abhi abhi maine chhua Tab jaake yakeen hua Li hai booze humne slight Sab lag raha hai bright Hona hai jo ho jaane do Aaj poora hai apna right Bas party chale On n on n on Bas party chale On n on n on Bas party chale On n on n on Bas party chale On n on n on n on Come on! Everybody party hard Nachenge hum saari raat Peeke ho jao talli aaj Maan lo yaaron meri baat Shots pe shots lagayenge Hum piyenge pilayenge Let’s go baby on the floor Let me love more and more Ho chha raha in hawaon mein hai Love tera chaaron ore Kaisa jadoo hai yeh tera Jo kheenche teri oar Thodi si dil ko jo di hai ijazat To dil gaya Koyi na koyi connection hai jo Tu mil gaya Hum sath mein hain tonight Every thing’s gonna be alright Hona hai jo ho jaane do Aaj poora hai apna right Bas party chale On n on n on Bas party chale On n on n on Bas party chale On n on n on Bas party chale On n on n on n on"
215,Keh Do Na,-,Rahul Vaidya RKV,Rahul Vaidya RKV,"Manoj Muntashir, Rahul Vaidya RKV", ,"Keh do na x (4) Keh do na, keh do na tum mere ho Keh do na, keh do na tum mere ho Aise sataya na karo Tumko na dekhun to ghabarata hoon Jaane kyun paagal sa ho jaata hoon Tum door jaya na karo Aise sataya na karo Shauk aakhon ka aye humnashin Sirf tum ho tum hi bas tumhi x (2) Doosra khwaab dekha hi nahi Doosra khwaab dekha hi nahi Deewana hoon hadh se badh jaaunga Tumne nazar pheri to mar jaaunga Yoon aazmaya na karo Keh do na, keh do na tum mere ho Keh do na, keh do na tum mere ho Aise sataya na karo Tumko na dekhun to ghabarata hoon Jaane kyun paagal sa ho jaata hoon Tum door jaya na karo Aise sataya na karo"
216,Main Badhiya Tu Bhi Badhiya,Sanju,"Sonu Nigam, Sunidhi Chauhan",Rohan-Rohan,Puneet Sharma, ,"Main badhiya tu bhi badhiya Shaadi kar le saawariya Phootengi phir phuljhadiyan Badhiya badhiya Main badhiya tu bhi badhiya Par main azad hoon chidiya Rakh tu apni phuljhadiyan Badhiya badhiya Chatt mangi kar patt mangi Mujhe patni bana le jhatt patt apni Sun pagli main chhora jungli Arre kaahe ko banana chahe meri chatni Aaha aaha Main badhiya tu bhi badhiya Par main azad hoon chidiya Rakh tu apni phuljhadiyan Badhiya badhiya Sun sajna kal aaya sapna Maine sapne mein dekha mandap apna Sab taare the barati Sang naach rahe suraj chanda Jaag ja re pagli tu Sapna nahi hai yeh hai durghatna, durghatna Suraj se mandap jal jayega Mujhe nahi pakna, mujhe nahi pakna Aaha aaha Main badhiya tu bhi badhiya Hum kyun phoonkein yeh duniya Rakh tu apni phuljhadiyan Badhiya badhiya Badhiya badhiya Badhiya Samjhe aan, badhiya"
217,Allah Duhai Hai,Race 3,"Amit Mishra, Jonita Gandhi, Sriram Chandra",JAM8 (Tushar Joshi),"Shabbir Ahmed, Shloke Lal", ,"Sohneya! Back to the race! Toone kar di hai thodi dooriyan Daba ke rakhi dil mein sau farebiyan Elan hai yeh zakhmi jigar ka Hun vekh tamasha chhad gallan saariyan Jhoothi mohabbat hai teri fitrat Har martaba sau dafa toone kiya daga Nasha tera, nasha nasheela nasheela hai Allah duhai hai Phir jaan pe aayi hai Ab to tabahi hai Haan tere pyar mein Allah duhai hai Phir jaan pe aayi hai Ab to tabahi hai Haan tere pyar Allah duhai hai Phir jaan pe aayi hai Ab to tabahi hai Haan tere pyar mein Zindagi tujhko kaise mod pe phir le aayi Kuchh lamhon mein duniya se hogi teri rihayi Tere ghunahon ki saza tujhe mile abhi Hum bhi nahi chhodenge, na chhodega ilahi Junoon bhi tu, nasha bhi tu, talab tu meri Mitana hai tujhi ko to yeh zid hai meri Jayega tu kahan pe tujhi pe nazrein meri Main kar doon tabah tujhe yeh zid hai meri Nasha tera, nasha nasheela nasheela hai Allah duhai hai Phir jaan pe aayi hai Ab to tabahi hai Haan tere pyar mein Allah duhai hai Phir jaan pe aayi hai Ab to tabahi hai Haan tere pyar Aaja aa jashan tu mana le Kal se tu mere hawale Masti ke laga labon se pyale Kal se tu mere hawale Phir shuru ab daud yeh Is baat kar gaur le Kar na abhi bas le maze coz We’re coming back to the race We’re coming back to the race We’re coming back to the race Allah duhai hai Phir jaan pe aayi hai Ab to tabahi hai Haan tere pyar mein Allah duhai hai Phir jaan pe aayi hai Ab to tabahi hai Haan tere pyar We’re coming back to the race"
218,Selfish,Race 3,"Atif Aslam, Iulia Vantur",Vishal Mishra,Salman Khan, ,"Aao ji mera hath thaamo ji Mere sang sang chalo aur wahan baitho na Aur thoda wahan tasalli se Apne khayalat ko share karo na Ik baar baby selfish hoke Apne liye jiyo na x (4) Yeh na kabhi man mein lana Ke hum aapko gumrah kar rahe hain Hum jaante hain Hum aapke liye koyi bhi nahi Aapne itna, itna kiya hai Hai ki ab bas aap hi hakdaar ho Baby selfish hone ke liye, so Ik baar baby selfish hoke Apne liye jiyo na x (2) Chehre pe aapke muskaan hai Pgir aankhon mein kyon hai nami Khush to bahut hain Phir bhi na jaane kyon Thodi si hai kami Aao na jo bhi baaki kami hai Usko mitane ik baar hi Aitbaar kar hamesha, hamesha ke liye, so Ik baar baby selfish hoke Apne liye jiyo na x (3)"
219,Tafreeh,Bhavesh Joshi Superhero,Amit Trivedi,Amit Trivedi,Amitabh Bhattacharya, ,"Kahin pe dil ke kone mein Button hai ek nadani ka Daba, daba, daba Jo lamha leke aaya hai Bubble gum ik shaitani ka Chaba chaba chaba Jahan saste mein milti ho Khushi ka wo thikana hai Kahan, kahan, kahan Teri hi naak ke niche Khushi maujud hai pagle Yahan yahan yahan To chal zara jee le na khul ke tu Kar zara kar le na khulke tu Tafreeh tafreeh tafreeh.. Ladakpan ko kal ki khatir Mat petrol ki tarah Bacha bacha bacha Chidak de aaj pe sara Beparwah hungama macha macha macha Thahake zor ke maare Zamane ko lateefa wo Suna suna suna Bante jab char yaaron mein Maza badhta hai utni hi Guna guna guna To chal zara jee le na khul ke tu Kar zara kar le na khulke tu Tafreeh tafreeh tafreeh.. Yahan To chal zara jee le na khul ke tu Kar zara kar le na khulke tu Tafreeh tafreeh tafreeh.."
220,Heeriye,Race 3,"Deep Money, Neha Bhasin",Meet Bros,Kumaar, ,"Akhiyan te chhaya rang Tere hi khayal da Dooja koyi vekheya na Main tere naal da x (2) Heeriye Heeriye ni nasha tera karke Na puchh humein kya ho gaya Na puchh humein kya ho gaya Heeriye ni nasha tera karke Karke, karke, cut it, cut it Ki Ranjha yeh tabaah ho gaya Ki Ranjha yeh tabaah ho gaya Heeriye ni nasha tera karke Na puchh humein kya ho gaya Ki Ranjha yeh tabaah ho gaya I’ve been thinkin’ about you x (2) Tere hi suroor mein Dooba dooba rehta hoon Tera hi kasoor hai Ye baar baar kahta hoon x (2) Ek tera naam rahe meri zuban pe Jaise chaand rehta hai us aasman pe x (2) Heeriye Heeriye ni tujhpe hi marke Na puchh humein kya ho gaya Na puchh humein kya ho gaya Heeriye ni nasha tera karke Karke, karke, cut it, cut is Ki Ranjha yeh tabaah ho gaya Ki Ranjha yeh tabaah ho gaya Heeriye ni nasha tera karke Na puchh humein kya ho gaya Ki Ranjha yeh tabaah ho gaya I’ve been thinkin’ about you x (2) Tujhse hi din shuru Tujhse hi raat hai Mile na kitaabon mein jo Tujhmein woh bata hai x (2) Toone bhi to chori chori Mujhko churaya ve Neendon ko patang kiya Raaton ko jagaya ve x (2) Heeriye Heeriye teri aakhon mein utar ke Na puchh humein kya ho gaya Na puchh humein kya ho gaya Heeriye ni nasha tera karke Karke, karke, cut it, cut is Ki Ranjha yeh tabaah ho gaya Ki Ranjha yeh tabaah ho gaya Heeriye ni nasha tera karke Na puchh humein kya ho gaya Ki Ranjha yeh tabaah ho gaya I’ve been thinkin’ about you x (2)"
221,Sapna,Parmanu,Arijit Singh,Sachin-Jigar,Sachin Sanghvi, ,Aankhein abhi khuli nahi Kyun savera ho gaya x (2) Abhi shuru hua nahi Kyun khatam yeh ho gaya Sapna jo tha mera kho hi gaya x (2) Uss khwaab mein saughatein thi Kuchh pyari si saughatein Bhool na paaunga jinko Aisi thi kuchh yaadein Lakh koshishein ki main Lakh koshishein ki Par khwaab jo tha mera kho hi gaya Sapna jo tha mera Sapna jo tha mera Sapna jo tha mera kho hi gaya Kho hi gaya Kho hi gaya
222,Jitni Dafa,Parmanu,Yasser Desai,Jeet Gannguli,Rashmi Virag, ,"Jitni dafa dekhun tumhein Dhadke zoron se Aisa to kabhi hota nahi Milke ghairon se x (2) Door jaana nahi tumko hai kasam Khud se zyada tumhein chahte hain sanam Door jaana nahi mujhse ae sanam Khud se zyada tumhein chahte hain sanam Di mein jo bhi hai tera hi to hai Chahe jo maang lo roka kisne hai Katal agar karna ho, karna dheere se Uff bhi nahi niklegi mere hothon se Door jaana nahi tumko hai kasam Khud se zyada tumhein chahte hain sanam Door jaana nahi mujhse ae sanam Khud se zyada tumhein chahte hain sanam "
