,Song,Movie,Singers,Musicians,Lyricists,Year,Lyrics
24,Nachange Saari Raat,Junooniyat,"Meet Bros, Neeraj Shridhar, Tulsi Kumar",Meet Bros Anjjan,Kumaar, ,Dance dance everybody Getting hotter in the party C’mon c’mon start feeling Dance dance everybody x (2) Bhangde di queen main ta Kudi so hasin main ta Meri hai ghazab gall baat Figure haiga ghaint mera Thumka excellent mera Groovy groovy ho jaa mere sath x (2) Nachange saari raat sohneyo ve Nachange saari raat sohneyo ve Karlo thoda sa pyar sohneyo ve Karlo thoda sa pyar o.. x (2) Daru bhar lo muggon mein Partiyo mein pubbon mein Beat baje jab Meeto ki Sab jhoom uthenge clubbon mein x (2) Kudi hai tu fine Ab dede mujhe line Main tere naal janchda bada Vajda ae band Tu dede mujhe hand Floor pe main kabse khada Na zid very much karin Mujhko na touch karin Karle control jazbat Phir bhi jo na maane dil Karta jaaye tujhko kill Thaam le tu aake mera hath Nachange saari raat sohneyo ve Nachange saari raat sohneyo ve Karlo thoda sa pyar sohneyo ve Karlo thoda sa pyar
25,Haq Hai,TE3N,Clinton Cerejo,Clinton Cerejo,Amitabh Bhattacharya, ,Ghor andera Kehta raha Haar ja Ek sitara Mana nahin Na dara Roshni ki ek boond pe Zinda raha woh Zinda raha woh Zindagi ki kuchh doriyon Ko jakde huve Kehta raha Haq hai mujhey jalne ka Haq hai mujhey jeena ka Haq hai mera amber pe Le ke rahoonga hak mera Le ke rahoonga hak mera Karta hoon vaada
26,Vadiya,Udta Punjab,Amit Trivedi,Amit Trivedi,Shellee, ,Chali jad hawa main ud gaya Na poochh kya hua main ud gaya Vadiya vadiya vadiya Lagda hai vadiya Vadiya vadiya vadiya Waah waah ji vadiya Nasha hi nasha hone laga Main haan baadshah khone laga Vadiya vadiya vadiya Lagda hai vadiya Vadiya vadiya vadiya Waah waah ji vadiya I’m a freak now x (4) Ae kee ho gaya naa mujhe pata Khud ke siwa naa mujhe pata Vadiya vadiya vadiya Lagda hai vadiya Vadiya vadiya vadiya Waah waah ji vadiya Zehar jo liya woh bha gaya Main gabhru yun hi na gehra gaya Vadiya vadiya vadiya Lagda hai vadiya Vadiya vadiya vadiya Waah waah ji vadiya I’m a freak now.. x (4)
27,Ankhiyaan,Do Lafzon Ki Kahani,Kanika Kapoor,Arjuna Harjai,Kumaar, ,Ankhiyaan ne ankhiyaan nu Rab jaane kyu diye fasle x (2) Raundiyan ne chham chham karke Teri yaado mein mar ke x (2) Bhull gayiyan jindri de raste Ankhiyan ne ankhiyan nu Rab jaane kyu diye fasle x (2) Duniya ki bheed me main Tanha si ho gayi Paa kar jo tujko khoya Khud hi main kho gayi x (2) Kya bataoon tere bin Kaajal se hain yeh din Taare bhi bujhe bujhe Hain raat mein Akhiyaan ne akhiyaan nu Rab jaane kyu diye fasle x (2) Raaho mein baithe baithe Nain patthra gaye Khushiyon ke hothon pe Dard kaise aa gaye x (2) Sapne jo ruthe ruthe Judd ke jo dil hain tute Tuti hain lakirein bhi Yeh hath mein Ankhiyaan ne ankhiyaan nu Rab jaane kyu diye fasle x (2)
28,Sehra,Do Lafzon Ki Kahani,Ankit Tiwari,Ankit Tiwari,Sandeep Nath, ,"Ik wajah dhoondte bewajah dhoondte Kho gaya main jahan me jahan dhoondte Kuchh silla dhoondte, silsila dhoondte Aa gaya main kahan se kahan dhoondte Har jagah, har galli Mazilen na milein Yun hi saason me saans liye Sehra mere ru-ba-ru Banjaara main kya karun Sehra mere ru-ba-ru Banjaara main kya karun Raste hamesha safar hi rahen Chain ke pal bhi mukhtsar rahen x (2) Ik bayan ba mila, karwan dhoondte Yun hi saason me saans liye Sehra mere ru-ba-ru Banjaara main kya karun Sehra mere ru-ba-ru Banjaara main kya karun"
29,Zara Zara,Waiting,"Vishal Dadlani, Kavita Seth",Mikey McCleary,Ankur Tewari, ,"Hai zara zara, hai zara Ab hua assar zara zara Zyaada nahin bas thoda sa Hua assar naya zara Bin bataaye woh raat mein Zindagi ki poshaak mein Milne aayi thi mujhe Kuchh sabaah, kuchh sabaah Hai zara zara, hai zara Ab hua assar zara zara Zyaada nahin bas thoda sa Hua assar naya zara Hai zara zara, hai zara Ab hua assar zara zara x (2) Hai zara, hai zara, zara zara Hai naya hai zara, zara zara"
30,Jeena Marna,Do Lafzon Ki Kahani,Altamash Faridi,Babli Haque,Sandeep Nath, ,Kyon itnon mein tujhko hi Chunta hun har pal Kyon tere hi khaab Ab bunta hun har pal Kyon itnon mein tujhko hi Chunta hun har pal Tere hi khaab Ab bunta hun har pal Toone mujhe jeene ka hunar diya Khaamoshi se sehne ka sabra diya Toohi bharosa zindagi ka Tu hai mera hausla Mujhey jeena sikha diya Marna sikha diya Teri wafaon ne tumsa bana diya Tere khayalo mein ho gai gumm Yey meri tanhaaiyan Ab rooh meri karne lagi hai Teri nigehbaniyan Toohi bharosa zindagi ka Tu hai mera hausla Mujhey jeena sikha diya Marna sikha diya Teri wafaon ne tumsa bana diya Jeena sikha diya Marna sikha diya Teri wafaon ne tumsa bana diya
31,Ikk Kudi,Udta Punjab,Diljit Dosanjh,Amit Trivedi,Late Shri Shiv Kumar Batalvi, ,"Ikk kudi jida naam mohabbat Gumm hai, gumm hai, gumm hai Ho saad muradi, soni phabbat Gumm hai, gumm hai, gumm hai Ho surat os di pariyan vargi Sirat di oh Mariam lagdi Hansdi hai taan phull jhad-de ne Turrdi hai taan gazal hai lagdi Lam salami saru de kadd di haye Umar ajje hai mar ke aag di Par naina di gall samajh di Ikk kudi jida naam mohabbat Gumm hai, gumm hai, gumm hai Ho saad muradi, soni phabbat Gumm hai, gumm hai, gumm hai ho.."
32,Fake Ishq,Housefull 3,"Kailash Kher, Nakash Aziz, Altamash Faridi",Tanishk Bagchi,"Sajid-Farhad, Arafat Mehmood", ,"Mind mera yahan hai, dil kahin aur Haan everything is fair in love and war Emotion ke jo taar hill gaye Kele ke chilke jaise chil gaye x (2) Love me hum kill gaye Abba.. Bada fake tha pehle Yeh ishq ishq, yeh ishq ishq Ab neik lage hai Yeh ishq ishq, yeh ishq x (2) Ho ishq hai aisa kameena na.. Pal mein chudaaye paseena Ho kar de mushqil jeena re Haan haan jeena re Haye re jeena re Aeroplane se rail ho gaye Topper se hum fail ho gaye x (2) Love me hum kill gaye Abba.. Bada fake tha pehle Yeh ishq ishq, yeh ishq ishq Ab neik lage hai Yeh ishq ishq, yeh ishq Ho ishq bada hai sayana, na.. Aata hai isko phansana Na iske paas na jana re Na na jana re Na na jana re Head se ab hum tail ho gaye Heaven se hum hell ho gaye x (2) Love me hum kill gaye Abba.. Bada fake tha pehle Yeh ishq ishq, yeh ishq ishq Ab neik lage hai Yeh ishq ishq, yeh ishq Abba.. Yeh ishq, yeh ishq Abba.. Bada fake tha pehle Yeh ishq ishq, yeh ishq ishq Ab neik lage hai Yeh ishq ishq, yeh ishq"
33,Malamaal,Housefull 3,"Mika Singh, Akira, Miss Pooja, Kuwar Virk","Mika Singh, Millind Gaba","Rani Malik, Sajid-Farhad", ,"Naqshe de chamkan wal mere badle de Matthe de chamkan wal mere badle de Mehndi da rang hoya lal vede badle de Ho panj lakh da liner tera Chheh lakh de jhumke Saat lakh da lehanga tera Aath lakh de thumke x (2) Tenu dekh dekh hoya ni behaal sohniye Tenu dekh dekh hoya ni behaal sohniye Ni sari duniya ch tu hi O sare London vich tu hi malamaal sohniye Ni sare UK vich tu hi malamaal sohniye Ni sare world vich tu hi malamaal sohniye Handsome, dashing, smart mundey All wanna be my man You’re the one Jisne lutteya saade dil da chain Haaye when I spoke, when I talk When I watch you sohni Tere vargi Heer sohniye Hor na koyi honi Maine to haan kardi lai ja nal sohneya Maine to haan kardi lai ja nal sohneya Ve sare London chon tu hi Ve sare London chon tu hi malamaal sohneya Ve sare UK vich tu hi malamaal sohneya Sare world vich tu hi malamaal sohneya Tere gore gore gaal Tere kale kale baal Tu bandi badi hai sexy Toone kiye kayi mad Chadhi jawani kaisi Tera chikkna badan – blow my mind Teri hot figure – blow my mind Tu jise phansaaye use rab hi bachaye Kabhi dekhi na teri jaisi O chaar dina de lai jawani Kar le mithian gallan Je tu kare ishara mainu Chal de lu lai challan Mauka hai dastur bhi hai Par why you standing far Take me in your arms raja Like a true sardar Ho mere ballon sab nu Sat shri akal sohniye x (2) Ni sari duniya ch tu hi Ho sare London vich tu hi malamaal sohniye Ni sare UK vich tu hi malamaal sohniye Ni sare world vich tu hi malamaal sohniye Malamaal sohneya sohneya sohneya Malamaal sohniye sohniye sohniye x (2) Malamaal sohneya sohneya sohneya Malamaal sohniye"
34,Taang Uthake,Housefull 3,"Mika Singh, Sohail Sen, Neeti Mohan, Mamta Sharma, Hrishikesh Chury",Sohail Sen,"Sameer Sen, Farhad-Sajid, Mamta Sharma, Sanjeev Chaturvedi", ,"Ho naachenge saari saari raat Hmm naachenge saari saari raat Taang uthake Ho naachenge saari saari raat Taang uthake Peeke talli hain saare aaj Taang uthake Khaali batti bujha le Chint kulle, pint kulle Yeh moment chura le Sochta kya deewane Jhoomega body ka har part Taang uthake Naachenge saari saari raat Taang uthake Main wine ki bottle Jismein nasha total All the guys just wanna piece of me Main cutie cutie, thodi si naughty Teri meri hai khoob chemistry Ho housefull hai yeh jagah Haan DJ thoda sound badha Jamm ke thumke tu laga gaa gaa.. Aaja karein Govinda ka dance Aaja! aaja karein Govinda ka dance Taang uthake Peeke talli hain saare aaj Taang uthake Khaali batti bujha le Chint kulle, pint kulle Yeh moment chura le Sochta kya deewane Jhoomega body ka har part Taang uthake Naachenge saari saari raat Taang uthake"
35,Tu Hai Toh Main Hoon,Waiting,"Anushka Manchanda, Nikhil D’Souza",Mikey Mccleary,Manoj Muntashir, ,Bin kahe kehti hai Khushnuma yeh subah Thodi si roshini Aakhon mein bhar le aa Paanv tale mere Chalta hai rasta Soi huyi hoon ya Jaagi hoon kya pata x (2) Tu hai toh main hoon Yeh jaan le Saya hoon main tera Tu pehchaan le Tu hai toh main hoon x (2) Kisi mod par kahin Jab dil tera dare Baazu khule huve Mil jaayenge mere Galiyon se main teri Banke hawa bahu Jaaoon na aaoon Tere paas hi rahoon Tu hai toh main hoon Yeh jaan le Saya hoon main tera Tu pehchaan le Tu hai toh main hoon x (2) Seene mein dil liye Kehte hain log sare Mera to dil wahin hai Jahaan tu mujhe pukare Tu hai toh main hoon Yeh jaan le Saya hoon main tera Tu pehchaan le Tu hai toh main hoon x (2)
36,Kuch Toh Hai,Do Lafzon Ki Kahani,Armaan Malik,Amaal Mallik,Manoj Muntashir, ,"Aahaten kaisi ye aahaten Sunta hun aajkal, ae dil bata Dastaken dete hain dastaken Kyu ajnabi se pall, ae dil bata Kuch toh hai jo neend aaye kamm Kuch toh hai jo aakhein hai namm Kuch toh hai jo tu keh de to Hasste hasste mar jaayein hum Mujhse zyaada mere jaisa Koyi hai to hai tu Phir na jaane dil mera kyu Tujhko na de sukun Kuch toh hai jo dil ghabhraye Kuch toh hai jo saans na aaye Kuch toh hai jo hum honton se Kehte kehte keh na paayen Jo hamaare darmiyan hain Is ko hum kya kahen Ishq kya hai ik lehar hai Aao ismein bahen Kuch toh hai jo hum hain khoye Kuch toh hai jo tum naa soye Kuch toh hai jo hum donon yoon Haste haste itna roye"
37,Chitta Ve,Udta Punjab,"Shahid Mallya, Babu Haabi, Bhanu Prtap",Amit Trivedi,Shellee, ,"Dekho.. Dekho main hun aamne Aur tussi ho samne Burra, burra, burra Hai sab dil lage thamne Zindagi chill hai ya Jio jio speed vich Azaadi lipti maza hai sara veed vich Choude mein raho high Kaahe ki koyi rok-tok Chun chaan kare jo koyi Usko do otthe hi thok Chaddhi pehan ke gaaoon Ya phir gaaoon nanga Tu hota hai kaun chooze Chal teri maa da kangna Main jaisa bhi hun Cool cool dude changa Panga na lena mujhse Main udta patanga Meri aan, baan, shaan Tsunami main toofaan Har desh mein hain fab Mujhe kahan mile chain Mera gana jab bhi baaje Police si yeh chor nache Mujhe gyan na pilaana Main hun antaryami Tum hari gunn gao Main paidaisi harami, boo.. O chitta ve, o chitta ve Kaiyaan nu hai khush keeta ve Hai meetha ve, hai meetha ve Kundi nashe waali khol ke dekh Udta punjab Fakira ve, fakira ve Aehi teri soni Meera ve Fakira ve, fakira ve Bas nach naal khinch ke dekh Udta punjab, udta punjab, Udta punjab Chitta ve, chitta ve Jisne vi ennu lita ve Jita ve, jita ve Kundi nashe waali khol ke dekh Udta punjab, pdta punjab, pdta punjab"
38,Rabba,Sarbjit,Shafqat Amanat Ali,Tanishk Bagchi,Arafat Mehmood, ,Ankhiyon ke dhaare Sukhe hain saare Soona hai manzar soona Tu jo na re Ho rabba milleya milleya na Jo khoya milleya milleya na Oh rabba milleya milleya na ve x (2) Toote sare dhaage re Taveez na taage re Kiski nazar laage re Tu rab hai sab jane re Har dard pehchaane re Kyu na nazar kaate re Bandhoon main kis-se ummidein Tu bata de re Ho rabba milleya milleya na Jo khoya milleya milleya na Oh rabba milleya milleya na ve x (2) Rango ke mausam ruthe Aankhon ke dariya sukhe Kisne manzar phunke Bhige saare chaubare Rasto pe hai deewarein Kadmo ko mere roke Haathon se phisle jo rishte Phir se la de re Ho rabba milleya milleya na Jo khoya milleya milleya na Oh rabba milleya milleya na ve x (2) Oh rabba milleya milleya na Rabba milleya milleya na Rabba milleya milleya na Rabba milleya x (3)
39,Nindiya,Sarbjit,Arijit Singh,Shashi-Shivamm,Sandeep Singh, ,Nindiya ye legi tujhe thaam re So ja dede aakhon ko aaram re Ke saara din chal ke hai ghuzara Tu uljhanon ka mara Ab jaa ke aayi hai ye shaam re Arre aa re aa re aa Arre aa re aa re.. x (2) Teri wo baaten aa sunaoon Baithoon sirhane loriyan main gaaoon Raahein tak-ti hain ye ataari Teejon ki ghadiyan sooni hi ghuzari Saare nazare ye bahaarein Hain tujhi pe vaare Khwaabon ne bheja ye paigham re So ja dede aakhon ko aaram re Ke saara din chal ke hai ghuzara Tu uljhanon ka mara Ab jaa ke aayi hai ye shaam re Arre aa re aa re aa Arre aa re aa re.. x (2) Nindiya ye legi tujhe thaam re So ja dede aakhon ko aaram re Ke saara din chal ke hai ghuzara Tu uljhanon ka mara Ab jaa ke aayi hai ye shaam re Arre aa re aa re aa Arre aa re aa re.. x (2)
40,Tung Lak,Sarbjit,"Sukhwinder Singh, Sundhi Chauhan, Sahil",Shail-Pritesh,Sandeep Singh, ,"Jaddon heer chori se takkdi hai Sat seene seedhe wajdi ae Badi teji se yeh chadhdi ae Tung tung lak tung lak tung x (4) Masti mein hoke tunn Main kar baitha hud-dang Ishq-e di dhun dil mein bajhti Tung tung lak tung lak tung Hai shohshe baazi mein Aashiq andaazi mein Mera dil da lattu ud gaya Pad gaya ishq mizaji mein Dil bole ke yaar aaj had karde Tung tung lak tung lak tung Tung tung lak tung lak tung Main kar baitha hud-dang Tung tung lak tung lak tung Tung tung lak tung lak tung Tung tung lak tung lak tung Mera dil da lattu ud gaya, ud gaya Tung tung lak tung lak tung Banja main nag teri mundri da Ya button teri kurti da Rahoonga sang sang sohniye Chhede kudiyon ko tu kyun chhede Peechhe na pad tu mere Kara doongi rapat teri main Dil lutteya ae chitta tera rang sohniye Tung tung lak tung lak tung Tung tung lak tung lak tung Main kar baitha hud-dang Tung tung lak tung lak tung Kari banene chal teri Mili arse baad yeh daulat hai Aa gayi shagun di raat yeh Vehde vich bajjdi dholak hai Husna te paade ek boli Chal dhol baja de veh dholi Sharam bhula sang jhoom zara Lak lak chal chal chal lachka ve Tung tung lak tung lak tung Tung tung lak tung lak tung Mera dil da lattu ud gaya, ud gaya Tung tung lak tung lak tung Tung tung lak tung lak tung Tung tung lak tung lak tung Main kar baitha hud-dang Tung tung lak tung lak tung Mera dil da lattu ud gaya, ud gaya Tung tung lak tung lak tung"
41,Pyar Ki Maa Ki,Housefull 3,"Sharib, Toshi, Nakash Aziz, Divya Kumar, Anmol Malik",Sharib-Toshi,"Manoj Yadav, Farhad-Sajid, Danish Sabri", ,"Kabhi blink kare, kabhi wink kare Naina naino se link kare x (2) Dekho chaand ko chadh gayi hai charbi Suraj bhi laga bakne Arbi Is awesome waale mausam mein De Engslih waali pappi pappi Pyar ki maa ki, pyar ki maa ki Aaj se pooja karni hai x (3) Pyar ki maa ki, pyar ki maa ki If tu bann jaaye jo meri dear Chote baby ki tarah main karu teri care Love ke liye hai jab dono raazi Phir kyun bulaaye tere baap ne kaazi Ek gal kehna tainu rab di kasam Tu chipak gayi jaise chewing gum Baby zara ishq pe kar de reham Tu meri bread, main tera jam Baba baba black sheep, have you any wool Dil sadda hoya teri galiyon mein gul Ab to Jack n Jill bhi went up the hill Baby aaja love baghiya me karte hain chill Baba baba Ho meri jaan haaye My heart beats for you baby Now come make me your lady Oh meri jaan haye Just keep the fun flowing No stopping & no slowing Dekho chaand ko chadh gayi hai charbi Suraj bhi laga bakne Arbi Is awesome waale mausam mein De Engslih waali pappi pappi Pyar ki maa ki, pyar ki maa ki Aaj se pooja karni hai x (3) Pyar ki maa ki, pyar ki maa ki"
42,Neki Ki Raah,Traffic,Arijit Singh,Mithoon,Mithoon, ,"Neki ki raah pe tu chalega Rabba rahega tere sang x (2) Woh to hai tere dil mein haan Tu kyun usse baahar use dhoondhta Neki ki raahon pe tu chalega Rabba rahega tere sang Kabhi hai woh saahil pe Kabhi hai woh maujon pe Kabhi hai parinda woh udta hua Woh to khuda hai, jeevan hairan hai Usko na mazhab mein na kaid karna Woh wafaadar hai Haan khud hi pyar hai Saaye mein uske sukoon kitna Duniya ka noor hai Na tumse door hai Pakeezgi mein woh hai basta Noor-e-khuda ka hai aasra Woh hi to hai apna Yeh jahan uska hai Neki ki raah pe tu chalega Rabba rahega tere sang Woh to hai tere dil mein haan Tu kyun usse baahar use dhoondhta Neki ki raahon pe tu chalega Rabba rahega tere sang Rab se mohabbat kar Uski ibaadat kar Usne hi di hai hamein zindagi Uske karam se, har vachan se Raahon pe teri giregi roshni Sabko tu maaf kar, khud na insaf kar Uspe to haq bas khuda ka hi hai Tu auron se is qadar mil Jaise tu chaahe woh tujhse milein Kar yeh shuruaat, imaan hai To parbat bhi tere hukum pe chalein Neki ki raah pe tu chalega Rabba rahega tere sang Rab se mohabbat kar Uski ibaadat kar Usne hi di hai hamein zindagi Uske karam se, har vachan se Raahon pe teri giregi roshni"
43,Oye Oye,Azhar,"Aditi Singh Sharma, Armaan Malik",DJ Chetas,Manoj Yadav, ,"Oye oye, oye oye Oye o aa, oye o aa Gajar ne kia hai ishaara Ghadi bhar ka hai khel sara x (2) Tamashayi ban jayenge khud tamasha Badal jayega yeh nazara Haan badal jayega yeh nazara Gajar ne kia hai ishaara Oye oye, oye oye Oye o aa, oye o aa x (4) Ishaaro pe hamko nacha lo Chalo jashn tum yeh mana lo Ke jee bhar ke hamko sata lo x (2) Nahin kuchh kahenge Ke hass kar sahenge Sitamgar sitam hum tumhara Haan sitamgar sitam hum tumhara Gajar ne kia hai ishaara Oye oye, oye oye Oye o aa, oye o aa x (4) Ho gali gali mein phirta hai Tu kyon ban ke banjara Aa mere dil mein bas ja Mere aashiq awaara Ho aa mere dil mein bas ja Mere aashiq awaara Ho tera pyaar hai ek sone ka Pinjra oh shehzaadi Mujhko apni jaan se pyaari Hai apni azaadi Ho mujhko apni jaan se pyaari Hai apni azaadi Oye oye, oye oye Oye o aa, oye o aa x (2)"
44,Girha,Dear Dad,Ali Noor,"Raghav, Arjun",Deepak Ramola, ,Badh gaye hum aage Sang chale jo (Sang chale jo) Mil jaayenge phir se Kho bhi gaye to (Kho bhi gaye to) Ik girha khul gayi hai Ik subaha mil gayi hai Doobti thi kahin (kahin) Door saansein meri Uljhanein banwari Tere sang nadan padi pheeki Bematlab lagin Ik girha khul gayi hai Ik subaha mil gayi hai
45,Salamat,Sarabjit,"Arijit Singh, Tulsi Kumar",Amaal Mallik,Rashmi Virag, ,"Chaahe main rahun jahaan mein Chaahe tu na rahe Tere mere pyar ki umra salamat rahe Chaahe yeh zameen, yeh aasman Rahe na rahe Tere mere pyar ki umra salamat rahe Dar hai tujhe main kho na du Mile jo khuda toh bol du Main do jahaan ka kya karun Tu bata Tu jo mere paas hai Mujhko na koyi pyas hai Meri mukammal ho gayi har duva Chaahe mere jism mein Yeh jaan rahe na rahe Tere mere pyar ki umra salamat rahe"
46,Ro Len De,1920 London,Shaarib Sabri,"Shaarib, Toshi",-, ,"Aaj ro len de ve jee bhar ke Meri saason se dagaa karke Tu gaya mujhko fana karke Ve janiya Mera zakhm-e-dil hara kar de Is gham ki ab dawa kar de Nazron ko bawafa kar de Ve janiya Aadat hai teri ya tera nasha hai Kaise bataoon tujhko rehbara Aaj ro len de ve jee bhar ke Meri saason se dagaa karke Tu gaya mujhko fana karke Ve janiya Ve janiya, ho janiya Hoon zinda hoon Hai mujhko hairat Main tere bin jiya kaise Saason ne ki aisi zurrat Zehar hans ke piya kaise Tere dard se meri nisbat hai Teri yaadon ki hansi sohbat hai Ashqon se dil ko tarr kar de Meri aahon mein assar bhar de Meri nazron pe nazar kar de Ve janiya Aaj ro len de ve jee bhar ke Meri saason se dagaa karke Tu gaya mujhko fana karke"
47,Itni Si Baat Hai,Azhar,"Arijit Singh, Antara Mitra",Pritam Chakraborty,Manoj Yadav, ,Tere darr pe aake tham gaye Naina namazi ban gaye Ik duje mein yoon dhal ke Aashikana aayat ban gaye Main aur Tum Kaisi dil lagaayi kar gaye Rooh ki rubayi ban gaye Khaali khaali donon the jo Thoda sa donon bhar gaye Main aur Tum Chalo ji aaj saaf saaf kehta hu Itni si baat hai mujhey tumse pyar hai Yoon hi nahin main tumpe jaan deta hu Itni si baat hai mujhey tumse pyar hai Mujhey tumse.. pyar hai Lage na yeh dhoop zaroori Lage na yeh chhanv zaroori Milte hain ishq zamin par Ab do hi naam zaruri Main aur Tum Chalo ji aaj saaf saaf kehta hu Itni si baat hai mujhey tumse pyar hai Yoon hi nahin main tumpe jaan deta hu Itni si baat hai mujhey tumse pyar hai Mujhey tumse.. pyar hai
48,Hit Kardi,Santa Banta Pvt Ltd,"Sonu Nigam, Diljit Dosanjh",Jassi Katyal,Kumaar, ,"I wanna be sharabi tonight Hone de kharaabi tonght I wanna be sharabi tonight Oh baby, oh baby Make my day Oh baby, oh baby Make my noon, oh baby Oh baby, oh baby Teri aakhon se pee ke hua crazy Hamein theke wali nahi chadhti Nainon wali hit kardi Hit kardi, hit karti x (2) Koyi aur mind mein nahi aati Nainon wali hit kardi Hit kardi, hit karti Nainon wali Oh yeah! Hamein theke wali nahi chadhti Nainon wali hit kardi Koyi aur mind mein nahi aati Nainon wali hit kardi Hosh ni aata nazron ko Jab nazron mein hai fit kardi Hit kardi ho.. oh baby, oh baby Teri aakhon se pee ke hua crazy Ni kudiye mere saamne aaja Ek shot mujhe aur lavaa ja Aaja ni aaja, ek shot mainu hor lavaa ja Full hon da jee mera karda Hangover to main nahi darda Hangover to main nahi darda Aise layi taan gehne aan Hit kardi, hit karti x (2) Hamein theke wali nahi chadhti Nainon wali hit kardi Koyi aur mind mein nahi aati Nainon wali hit karti Humne desi bhi azmaayi Aur velaiti bhi chadayi Wou duniya bhar ki daru Humne ki hai try x (2) Nainon jaisi beer kahin hogi na dear Nainon jaisi beer kahin hogi na dear Woh alag baat hai trouble little bit karti Hit kardi Hit kardi, hit karti x (2) Hamein theke wali nahi chadhti Nainon wali hit kardi Koyi aur mind mein nahi aati Nainon wali hit karti I wanna be sharabi tonight Me too.. x (3) Main hona ae sharabi aaj raat x (2) Akhtayi ho, chitti ho Ya phir ho chaahe bhoori Ik pal ki bhi Ik pal ki bhi hum inse Na rakh paate doori x (2) Gala hota hai jo wet Hum ho jaate hain set Gala hunda ae jo wet Hum ho jaate set O isi baat pe duniya khit-pit kardi Tujhe theke wali, make my day Tujhe theke wali, theke wali Thek thek.. Tujhe theke wali nahi chaldi Nainon wali hit kardi Koyi aur mind mein nahi aati Nainon wali hit kardi Main ho gayi sharabi tonight x (3)"
49,Do Anjaane,Cabaret,Roopkumar Rathod,"Kaustav Narayan Niyogi, Munish Makhija",Kaustav Narayan Niyogi, ,Do anjaane ghumshuda raat mein Kyon mile Do anjaane ghumshuda raat mein Kyon mile Koyi tara tuta hoga Koyi apna chhoota hoga Bhatki hui kisi kashti ko kinara Do anjaane ghumshuda raat mein Kyon mile Anjane raste the jud gaye Mushkilein thi jo raahon mein mud gaye Anjane raste the jud gaye Mushkilein thi jo raahon mein mud gaye Ik falak roshni si khil gayi Ik sitara mila hoga Do anjaane ghumshuda raat mein Kyon mile Kyon mile Kyon mile
50,Gumnaam Hai Koi,1920 London,"Jubin Nautiyal, Antara Mitra",Kaushik & Akash,Kunal Verma, ,Gumnaam hai koi Badnaam hai koyi Kisko khabar kaun hai woh Anjan hai koyi Gumnam hai koi Hai dard yeh agar mera Woh kya isse hai chhoo raha Fiqar usse meri hai kyun Nahin jo mera Yeh ishq hai ya ashq hai Jo meri aankhon mein Hai kyun aise bheegta Gumnaam hai koi Badnaam hai koyi Kisko khabar kaun hai woh Anjan hai koyi Gumnaam hai koi
51,Phir Teri Bahon Mein,Cabaret,Sonu Kakkar,Tony Kakkar,Tony Kakkar, ,"Phir teri bahon mein yu aaye Jeene lage, jeene lage Zinda huve hain phir se Pyar kitna hai kya batayein Jeene lage, jeene lage Zinda huve hain phir se Tumko jo paya hai ab Sara jahan hi pa liya Door thhe tumse magar Ab saason mein basaa liya Tum ho sang mein Humko khudaayi mil gayi Kitne tadpe hain kyaa batayein Jeene lage, jeene lage Zinda huve hain phir se"
52,Bol Do Na Zara,Azhar,Armaan Malik,Amaal Mallik,Rashmi Virag, ,Itni mohabbat karo na Main doob na jaaoon kahin Wapas kinare pe aana Main bhool na jaaoon kahin Dekha jabse hai chehra tera Main to haffton se soya nahin Bol do na zara Dil mein jo hai chipa Main kisi se kahoonga nahin Main kisi se kahoonga nahin Mujhe neend aati nahin hai akele Khwaabon mein aaya karo Nahin chal sakoonga tumahre bina main Mera tum sahara bano Ek tumhein chahane ke alaava Aur kuchh humse hoga nahin Bol do na zara Dil mein jo hai chipa Main kisi se kahoonga nahin Main kisi se kahoonga nahin
